2019-11-03 18:32:22.9704 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:22.9704 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 46 выполнено успешно 

2019-11-03 18:32:22.9893 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:22.9983 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:24.2711 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:24.2821 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:25.5652 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:25.5891 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:27.6087 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:27.6187 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:28.5260 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:28.5424 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:29.0447 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:29.0447 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

