2019-11-06 00:57:28.0648 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 00:57:28.0748 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 01:03:15.9540 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 01:03:15.9878 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 01:06:28.9227 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 09.11.2019 00:00:00 число 

2019-11-06 01:06:28.9307 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 01:12:06.9907 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-06 01:12:07.0086 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 01:14:14.4744 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Обращение к базе данных для создания нового бронирования 

2019-11-06 01:14:14.7454 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Бронирование комнаты 101 пользователем sanya123 

2019-11-06 01:14:14.7773 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-06 01:14:14.7773 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем sanya123 

2019-11-06 01:14:14.8392 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-06 01:14:18.0886 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-06 01:14:24.4766 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 01:14:24.4855 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:19:50.5870 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 02:19:51.0002 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:19:53.7535 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 02:19:53.7665 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:21:24.1428 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 14.11.2019 00:00:00 по 15.11.2019 00:00:00 число 

2019-11-06 02:21:24.1626 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:24:01.7440 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 13.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:24:02.1640 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:29:49.3316 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 02:29:49.7461 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:30:01.1048 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 13.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:30:01.1387 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:33:44.0721 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 09.11.2019 00:00:00 число 

2019-11-06 02:33:44.0721 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:34:37.5249 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 16.11.2019 00:00:00 число 

2019-11-06 02:34:37.5539 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:35:17.0256 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 02:35:17.0795 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:36:15.3592 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:36:15.3850 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:36:38.4641 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:36:38.4641 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:37:03.4302 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 02:37:03.4569 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:38:00.7851 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-06 02:38:00.8060 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:39:34.9766 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 09.11.2019 00:00:00 число 

2019-11-06 02:39:35.4603 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:41:11.2899 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 16.11.2019 00:00:00 число 

2019-11-06 02:41:11.6180 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:42:39.0246 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:42:39.5642 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:47:07.7109 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:47:08.1626 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:49:22.8034 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:49:23.2790 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:51:01.8640 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 07.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:51:02.3137 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:51:39.6885 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 08.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:51:39.7054 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:54:17.2079 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 17.11.2019 00:00:00 число 

2019-11-06 02:54:17.2397 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:55:06.0711 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-06 02:55:06.0901 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-06 02:58:32.0283 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 11.11.2019 00:00:00 число 

2019-11-06 02:58:32.0422 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

